TRILHA,ANOTACAO,ARQUIVO
--- Trecho ---,,
D1,e se te e se então você não participa assim se tiver festa de bairro,S_ALCP_2018FA-_EraniceS.eaf
S,não,S_ALCP_2018FA-_EraniceS.eaf
D1,é eh onde as pessoas se reúne você não participa,S_ALCP_2018FA-_EraniceS.eaf
S,não,S_ALCP_2018FA-_EraniceS.eaf
S,às vezes que eu venho pra cá né,S_ALCP_2018FA-_EraniceS.eaf
D1,tá,S_ALCP_2018FA-_EraniceS.eaf
D1,quando você vem pra cá daí você participa,S_ALCP_2018FA-_EraniceS.eaf
S,é,S_ALCP_2018FA-_EraniceS.eaf
D1,ahn,S_ALCP_2018FA-_EraniceS.eaf
D1,daí do do que que é,S_ALCP_2018FA-_EraniceS.eaf
D1,que que que você participa o que que você,S_ALCP_2018FA-_EraniceS.eaf
S,é em família,S_ALCP_2018FA-_EraniceS.eaf
D1,família,S_ALCP_2018FA-_EraniceS.eaf
S,é,S_ALCP_2018FA-_EraniceS.eaf
D1,ah tá isso é legal né,S_ALCP_2018FA-_EraniceS.eaf
D1,e,S_ALCP_2018FA-_EraniceS.eaf
,,
### Arquivo: S_ALCP_2018FA-_EraniceS.eaf,,
--- Trecho ---,,
D1,e nesse seu bairro já aconteceu alguma coisa que você,S_ALCP_2018FA-_EraniceS.eaf
D1,ficou com vontade de mudar de,S_ALCP_2018FA-_EraniceS.eaf
S,não,S_ALCP_2018FA-_EraniceS.eaf
D1,não,S_ALCP_2018FA-_EraniceS.eaf
S,não,S_ALCP_2018FA-_EraniceS.eaf
D1,e no santa lúcia,S_ALCP_2018FA-_EraniceS.eaf
S,também não,S_ALCP_2018FA-_EraniceS.eaf
D1,também não,S_ALCP_2018FA-_EraniceS.eaf
S,nós só saímos de lá porque o aluguel já tava caro,S_ALCP_2018FA-_EraniceS.eaf
D1,ah tá só por causa do aluguel,S_ALCP_2018FA-_EraniceS.eaf
S,é,S_ALCP_2018FA-_EraniceS.eaf
D1,tá,S_ALCP_2018FA-_EraniceS.eaf
D1,e,S_ALCP_2018FA-_EraniceS.eaf
D1,você gostava de morar lá então,S_ALCP_2018FA-_EraniceS.eaf
S,gostava,S_ALCP_2018FA-_EraniceS.eaf
D1,no no santa lúcia,S_ALCP_2018FA-_EraniceS.eaf
,,
### Arquivo: S_ALCP_2018FA-_EraniceS.eaf,,
--- Trecho ---,,
D1,e tem um algum bairro que você gostaria de morar,S_ALCP_2018FA-_EraniceS.eaf
D1,assim aqui em campinas,S_ALCP_2018FA-_EraniceS.eaf
S,aqui,S_ALCP_2018FA-_EraniceS.eaf
D1,no satélite,S_ALCP_2018FA-_EraniceS.eaf
S,é,S_ALCP_2018FA-_EraniceS.eaf
D1,ah tá,S_ALCP_2018FA-_EraniceS.eaf
S,não sei quando mas,S_ALCP_2018FA-_EraniceS.eaf
D1,legal,S_ALCP_2018FA-_EraniceS.eaf
D1,eh,S_ALCP_2018FA-_EraniceS.eaf
D1,com quantos anos você veio pra cá,S_ALCP_2018FA-_EraniceS.eaf
S,eu tinha dezessete,S_ALCP_2018FA-_EraniceS.eaf
D1,dezessete,S_ALCP_2018FA-_EraniceS.eaf
S,hoje eu tenho vinte e quatro,S_ALCP_2018FA-_EraniceS.eaf
S,eu moro há dez ano,S_ALCP_2018FA-_EraniceS.eaf
D1,faz sete que você está aqui,S_ALCP_2018FA-_EraniceS.eaf
S,é,S_ALCP_2018FA-_EraniceS.eaf
,,
### Arquivo: S_ALCP_2018FA-_EraniceS.eaf,,
--- Trecho ---,,
D1,e ahn a a escola era era próxima era no mesmo bairro,S_ALCP_2018FA-_EraniceS.eaf
S,era,S_ALCP_2018FA-_EraniceS.eaf
S,perto de casa,S_ALCP_2018FA-_EraniceS.eaf
D1,era bem pertinho,S_ALCP_2018FA-_EraniceS.eaf
S,é,S_ALCP_2018FA-_EraniceS.eaf
S,eu faltava mais do que eu estudava,S_ALCP_2018FA-_EraniceS.eaf
S,ficava numa praça lá,S_ALCP_2018FA-_EraniceS.eaf
D1,e,S_ALCP_2018FA-_EraniceS.eaf
D1,você você estudou até a quinta série sempre na mesma escola,S_ALCP_2018FA-_EraniceS.eaf
S,sim,S_ALCP_2018FA-_EraniceS.eaf
D1,gostava,S_ALCP_2018FA-_EraniceS.eaf
S,gostava,S_ALCP_2018FA-_EraniceS.eaf
S,mas eu faltava mais,S_ALCP_2018FA-_EraniceS.eaf
D1,não gostava muito então,S_ALCP_2018FA-_EraniceS.eaf
S,não disse que eu não,S_ALCP_2018FA-_EraniceS.eaf
S,é por isso que eu não terminei os estudo,S_ALCP_2018FA-_EraniceS.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,eh você mora aqui nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,você mora nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
D1,e quanto tempo faz que você mora nesse bairro aqui,S_ALCP_2018FA-_MarleneN.eaf
S,vai fazer nove anos,S_ALCP_2018FA-_MarleneN.eaf
D1,nove anos já,S_ALCP_2018FA-_MarleneN.eaf
D1,e quando você veio de alagoas pra cá,S_ALCP_2018FA-_MarleneN.eaf
D1,você já veio pra esse bairro ou não,S_ALCP_2018FA-_MarleneN.eaf
S,já,S_ALCP_2018FA-_MarleneN.eaf
D1,já veio pra esse bairro você não passou nem um outro nenhuma outra cidade nenhum outro bairro antes de vir pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,cidade sim,S_ALCP_2018FA-_MarleneN.eaf
S,mas quando eu vim pra cá já fiquei aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,ah tá pra morar mesmo você já veio direto pra campinas,S_ALCP_2018FA-_MarleneN.eaf
S,já fiquei a,S_ALCP_2018FA-_MarleneN.eaf
D1,e veio pra esse bairro mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,você mora nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
D1,e quanto tempo faz que você mora nesse bairro aqui,S_ALCP_2018FA-_MarleneN.eaf
S,vai fazer nove anos,S_ALCP_2018FA-_MarleneN.eaf
D1,nove anos já,S_ALCP_2018FA-_MarleneN.eaf
D1,e quando você veio de alagoas pra cá,S_ALCP_2018FA-_MarleneN.eaf
D1,você já veio pra esse bairro ou não,S_ALCP_2018FA-_MarleneN.eaf
S,já,S_ALCP_2018FA-_MarleneN.eaf
D1,já veio pra esse bairro você não passou nem um outro nenhuma outra cidade nenhum outro bairro antes de vir pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,cidade sim,S_ALCP_2018FA-_MarleneN.eaf
S,mas quando eu vim pra cá já fiquei aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,ah tá pra morar mesmo você já veio direto pra campinas,S_ALCP_2018FA-_MarleneN.eaf
S,já fiquei a,S_ALCP_2018FA-_MarleneN.eaf
D1,e veio pra esse bairro mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e você gosta de morar nessa região de campinas,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e quanto tempo faz que você mora nesse bairro aqui,S_ALCP_2018FA-_MarleneN.eaf
S,vai fazer nove anos,S_ALCP_2018FA-_MarleneN.eaf
D1,nove anos já,S_ALCP_2018FA-_MarleneN.eaf
D1,e quando você veio de alagoas pra cá,S_ALCP_2018FA-_MarleneN.eaf
D1,você já veio pra esse bairro ou não,S_ALCP_2018FA-_MarleneN.eaf
S,já,S_ALCP_2018FA-_MarleneN.eaf
D1,já veio pra esse bairro você não passou nem um outro nenhuma outra cidade nenhum outro bairro antes de vir pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,cidade sim,S_ALCP_2018FA-_MarleneN.eaf
S,mas quando eu vim pra cá já fiquei aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,ah tá pra morar mesmo você já veio direto pra campinas,S_ALCP_2018FA-_MarleneN.eaf
S,já fiquei a,S_ALCP_2018FA-_MarleneN.eaf
D1,e veio pra esse bairro mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e você gosta de morar nessa região de campinas,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,você já veio pra esse bairro ou não,S_ALCP_2018FA-_MarleneN.eaf
S,já,S_ALCP_2018FA-_MarleneN.eaf
D1,já veio pra esse bairro você não passou nem um outro nenhuma outra cidade nenhum outro bairro antes de vir pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,cidade sim,S_ALCP_2018FA-_MarleneN.eaf
S,mas quando eu vim pra cá já fiquei aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,ah tá pra morar mesmo você já veio direto pra campinas,S_ALCP_2018FA-_MarleneN.eaf
S,já fiquei a,S_ALCP_2018FA-_MarleneN.eaf
D1,e veio pra esse bairro mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e você gosta de morar nessa região de campinas,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,gosta,S_ALCP_2018FA-_MarleneN.eaf
S,gosto,S_ALCP_2018FA-_MarleneN.eaf
D1,e por que que você escolheu morar aqui nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
S,não eu vim pra cá porque o irmão do meu marido já morava aqui,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,já veio pra esse bairro você não passou nem um outro nenhuma outra cidade nenhum outro bairro antes de vir pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,cidade sim,S_ALCP_2018FA-_MarleneN.eaf
S,mas quando eu vim pra cá já fiquei aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,ah tá pra morar mesmo você já veio direto pra campinas,S_ALCP_2018FA-_MarleneN.eaf
S,já fiquei a,S_ALCP_2018FA-_MarleneN.eaf
D1,e veio pra esse bairro mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e você gosta de morar nessa região de campinas,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,gosta,S_ALCP_2018FA-_MarleneN.eaf
S,gosto,S_ALCP_2018FA-_MarleneN.eaf
D1,e por que que você escolheu morar aqui nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
S,não eu vim pra cá porque o irmão do meu marido já morava aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
S,então como ele morava aqui nós já veio diretamente pra cá,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e veio pra esse bairro mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e você gosta de morar nessa região de campinas,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,gosta,S_ALCP_2018FA-_MarleneN.eaf
S,gosto,S_ALCP_2018FA-_MarleneN.eaf
D1,e por que que você escolheu morar aqui nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
S,não eu vim pra cá porque o irmão do meu marido já morava aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
S,então como ele morava aqui nós já veio diretamente pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,aí acostumei e estou aqui até agora,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
D1,ficou até hoje,S_ALCP_2018FA-_MarleneN.eaf
S,até hoje,S_ALCP_2018FA-_MarleneN.eaf
D1,mas aí vocês vieram pra mais por conta de trabalho,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e por que que você escolheu morar aqui nesse bairro,S_ALCP_2018FA-_MarleneN.eaf
S,não eu vim pra cá porque o irmão do meu marido já morava aqui,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
S,então como ele morava aqui nós já veio diretamente pra cá,S_ALCP_2018FA-_MarleneN.eaf
S,aí acostumei e estou aqui até agora,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
D1,ficou até hoje,S_ALCP_2018FA-_MarleneN.eaf
S,até hoje,S_ALCP_2018FA-_MarleneN.eaf
D1,mas aí vocês vieram pra mais por conta de trabalho,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,por fi porque a família já estava aqui,S_ALCP_2018FA-_MarleneN.eaf
S,trabalho,S_ALCP_2018FA-_MarleneN.eaf
D1,foi trabalho mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
D1,você já era casada quando você veio,S_ALCP_2018FA-_MarleneN.eaf
S,já,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e o que que você acha que o seu bairro aqui tem de diferente dos outros bairros de campinas,S_ALCP_2018FA-_MarleneN.eaf
S,falar a verdade pra você,S_ALCP_2018FA-_MarleneN.eaf
S,os outros eu não saio daqui tipo assim pra ir pra os outros só fico mais aqui então eu não sei o que falar dos outros bairros,S_ALCP_2018FA-_MarleneN.eaf
D1,aham,S_ALCP_2018FA-_MarleneN.eaf
S,que é só aqui mesmo que eu fico não sou de,S_ALCP_2018FA-_MarleneN.eaf
D1,não sabe dizer de outros lugares mas você acha que é um bairro assim que é,S_ALCP_2018FA-_MarleneN.eaf
S,estar,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,eh diferenciado porque ele é completo ou ele é diferenciado porque ele não tem algumas coisas,S_ALCP_2018FA-_MarleneN.eaf
D1,você acha que falta alguma coisa ou que tem bastante coisa aqui pra vocês,S_ALCP_2018FA-_MarleneN.eaf
S,não aqui perto eu acho que tem bastante coisa,S_ALCP_2018FA-_MarleneN.eaf
D1,está tranquilo assim,S_ALCP_2018FA-_MarleneN.eaf
S,está tranquilo,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
S,pra mim sim,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,não sabe dizer de outros lugares mas você acha que é um bairro assim que é,S_ALCP_2018FA-_MarleneN.eaf
S,estar,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,eh diferenciado porque ele é completo ou ele é diferenciado porque ele não tem algumas coisas,S_ALCP_2018FA-_MarleneN.eaf
D1,você acha que falta alguma coisa ou que tem bastante coisa aqui pra vocês,S_ALCP_2018FA-_MarleneN.eaf
S,não aqui perto eu acho que tem bastante coisa,S_ALCP_2018FA-_MarleneN.eaf
D1,está tranquilo assim,S_ALCP_2018FA-_MarleneN.eaf
S,está tranquilo,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
S,pra mim sim,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
D1,está satisfazendo você,S_ALCP_2018FA-_MarleneN.eaf
S,está,S_ALCP_2018FA-_MarleneN.eaf
D1,por enquanto,S_ALCP_2018FA-_MarleneN.eaf
D1,e você sabe se aqui costuma haver festa de bairro,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e você sabe se aqui costuma haver festa de bairro,S_ALCP_2018FA-_MarleneN.eaf
S,ah tem mais assim tipo assim dia das crianças faz bastante,S_ALCP_2018FA-_MarleneN.eaf
S,pra as criança tipo pula pula mas assim pra sociedade não,S_ALCP_2018FA-_MarleneN.eaf
D1,não,S_ALCP_2018FA-_MarleneN.eaf
D1,é mais pro dia das crianças mesmo,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
D1,e tem algum lugar por exemplo que as pessoas costumam se reunir aqui no bairro pode ser por exemplo o parque barzinho,S_ALCP_2018FA-_MarleneN.eaf
D1,as pessoas costumam,S_ALCP_2018FA-_MarleneN.eaf
D1,não necessariamente é uma festa mas elas acabam se reunindo de certa forma,S_ALCP_2018FA-_MarleneN.eaf
S,tipo assim eu não sou de ir muito em bar mas geralmente a maioria das pessoas ficam mais em barzinho assim bebendo,S_ALCP_2018FA-_MarleneN.eaf
D1,aham,S_ALCP_2018FA-_MarleneN.eaf
D1,fica junto mais assim,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e por exmeplo natal ano novo eles não fazem nada,S_ALCP_2018FA-_MarleneN.eaf
S,faz tipo assim na casa da pessoa igual,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e tem algum lugar por exemplo que as pessoas costumam se reunir aqui no bairro pode ser por exemplo o parque barzinho,S_ALCP_2018FA-_MarleneN.eaf
D1,as pessoas costumam,S_ALCP_2018FA-_MarleneN.eaf
D1,não necessariamente é uma festa mas elas acabam se reunindo de certa forma,S_ALCP_2018FA-_MarleneN.eaf
S,tipo assim eu não sou de ir muito em bar mas geralmente a maioria das pessoas ficam mais em barzinho assim bebendo,S_ALCP_2018FA-_MarleneN.eaf
D1,aham,S_ALCP_2018FA-_MarleneN.eaf
D1,fica junto mais assim,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e por exmeplo natal ano novo eles não fazem nada,S_ALCP_2018FA-_MarleneN.eaf
S,faz tipo assim na casa da pessoa igual,S_ALCP_2018FA-_MarleneN.eaf
S,a maioria da,S_ALCP_2018FA-_MarleneN.eaf
S,das minhas amiga se reúne aí tem uma casa já,S_ALCP_2018FA-_MarleneN.eaf
S,aí todo mundo participa nessa casa,S_ALCP_2018FA-_MarleneN.eaf
D1,ah entendi aí calma mas é cada um na sua casa nesse sentido né as famílias nas casas com seus amigos mas não é uma coisa,S_ALCP_2018FA-_MarleneN.eaf
D1,geralizada assim pra pra,S_ALCP_2018FA-_MarleneN.eaf
D1,pra si pra pro bairro,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,pra si pra pro bairro,S_ALCP_2018FA-_MarleneN.eaf
D1,no caso né,S_ALCP_2018FA-_MarleneN.eaf
S,não aí tem só as pessoa já certa tipo assim,S_ALCP_2018FA-_MarleneN.eaf
S,as mais próximas,S_ALCP_2018FA-_MarleneN.eaf
D1,aham,S_ALCP_2018FA-_MarleneN.eaf
S,mas não pro bairro todo assim,S_ALCP_2018FA-_MarleneN.eaf
D1,não,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,ah entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,está certo,S_ALCP_2018FA-_MarleneN.eaf
D1,e as pessoas aqui por aqui se ajudam,S_ALCP_2018FA-_MarleneN.eaf
D1,você sabe dizer,S_ALCP_2018FA-_MarleneN.eaf
S,as que eu conheço sim quando precisa se precisar ajudam,S_ALCP_2018FA-_MarleneN.eaf
D1,se acontecer de por exemplo você ou alguém da sua família ficar doente precisar de ajuda quem que é a primeira pessoa que você recorre,S_ALCP_2018FA-_MarleneN.eaf
S,ai eu acho que é minha comadre,S_ALCP_2018FA-_MarleneN.eaf
D1,a sua comadre é,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e hoje em dia tem algum outro bairro que você gostaria de morar,S_ALCP_2018FA-_MarleneN.eaf
S,uhn,S_ALCP_2018FA-_MarleneN.eaf
S,acho que não,S_ALCP_2018FA-_MarleneN.eaf
D1,não está bom onde você está,S_ALCP_2018FA-_MarleneN.eaf
S,aqui está,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,você pode falar pra mim um pouquinho como é que foi a sua infância,S_ALCP_2018FA-_MarleneN.eaf
D1,lá em alagoas,S_ALCP_2018FA-_MarleneN.eaf
S,ah,S_ALCP_2018FA-_MarleneN.eaf
S,eu graças a deus não fui criada tipo assim a cidade que eu moro não é,S_ALCP_2018FA-_MarleneN.eaf
S,sertão essas coisa assim é cidade mesmo então a minha,S_ALCP_2018FA-_MarleneN.eaf
D1,aham,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
S,infância graças a deus,S_ALCP_2018FA-_MarleneN.eaf
S,o que os meus pais podia fazer pra mim fez,S_ALCP_2018FA-_MarleneN.eaf
D1,uhum,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e lá você po foi foi pra escola no mesmo bairro,S_ALCP_2018FA-_MarleneN.eaf
S,sim,S_ALCP_2018FA-_MarleneN.eaf
S,próximo da minha casa,S_ALCP_2018FA-_MarleneN.eaf
D1,você lembra o nome da escola,S_ALCP_2018FA-_MarleneN.eaf
S,escola estadual ma,S_ALCP_2018FA-_MarleneN.eaf
D1,esse daí era que você fez qual série,S_ALCP_2018FA-_MarleneN.eaf
S,eu fiz,S_ALCP_2018FA-_MarleneN.eaf
S,o quarto,S_ALCP_2018FA-_MarleneN.eaf
S,acho que do quarto,S_ALCP_2018FA-_MarleneN.eaf
S,à sétima,S_ALCP_2018FA-_MarleneN.eaf
D1,do quarto ao sétimo,S_ALCP_2018FA-_MarleneN.eaf
D1,e do que você fez primeiro ao quarto era a mesma escola ou não,S_ALCP_2018FA-_MarleneN.eaf
S,era próxima era uma do lado da outra,S_ALCP_2018FA-_MarleneN.eaf
D1,e você lembra o nome,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,não,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,e tem algum bairro aqui específico em que es essas pessoas que não são aqui do estado ou não são da cidade se concentram,S_ALCP_2018FA-_MarleneN.eaf
D1,você sabe,S_ALCP_2018FA-_MarleneN.eaf
S,ai não sei,S_ALCP_2018FA-_MarleneN.eaf
D1,você acha que está bem espalhado isso também,S_ALCP_2018FA-_MarleneN.eaf
S,acho que está ,S_ALCP_2018FA-_MarleneN.eaf
D1,entendi,S_ALCP_2018FA-_MarleneN.eaf
D1,e dentro de campinas você consegue identificar se uma pessoa é de determinada região,S_ALCP_2018FA-_MarleneN.eaf
D1,ou de algum dete terminado bairro específico,S_ALCP_2018FA-_MarleneN.eaf
D1,não dá pra saber,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,se não conversar com ela né,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
D1,não tem como saber,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,nenhum,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FA-_MarleneN.eaf,,
--- Trecho ---,,
D1,ou de algum dete terminado bairro específico,S_ALCP_2018FA-_MarleneN.eaf
D1,não dá pra saber,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,se não conversar com ela né,S_ALCP_2018FA-_MarleneN.eaf
S,é,S_ALCP_2018FA-_MarleneN.eaf
D1,não tem como saber,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,nenhum,S_ALCP_2018FA-_MarleneN.eaf
D1,e se assim pelo sotaque eu falo né,S_ALCP_2018FA-_MarleneN.eaf
D1,não tem como saber,S_ALCP_2018FA-_MarleneN.eaf
S,não,S_ALCP_2018FA-_MarleneN.eaf
D1,bom,S_ALCP_2018FA-_MarleneN.eaf
D1,vou pedir agora pra você ler uma listinha de palavras pra mim está bom,S_ALCP_2018FA-_MarleneN.eaf
D1,você pode ler antes pra você em silêncio se quiser ouvir,S_ALCP_2018FA-_MarleneN.eaf
D1,se você quiser ver né,S_ALCP_2018FA-_MarleneN.eaf
,,
### Arquivo: S_ALCP_2018FB+_IsabelaS.eaf,,
--- Trecho ---,,
D1,c fala pra mim há quanto tempo você mora aqui nesse bairro,S_ALCP_2018FB+_IsabelaS.eaf
S,é,S_ALCP_2018FB+_IsabelaS.eaf
S,está com,S_ALCP_2018FB+_IsabelaS.eaf
S,eu vim em dois mil e três né,S_ALCP_2018FB+_IsabelaS.eaf
D1,você já veio pra cá,S_ALCP_2018FB+_IsabelaS.eaf
S,é já vim pra cá,S_ALCP_2018FB+_IsabelaS.eaf
S,aí,S_ALCP_2018FB+_IsabelaS.eaf
S,aí eu vou falar de de quando eu comecei né,S_ALCP_2018FB+_IsabelaS.eaf
D1,uhum,S_ALCP_2018FB+_IsabelaS.eaf
S,aí quando eu vim pra cá,S_ALCP_2018FB+_IsabelaS.eaf
S,eu trabalhei,S_ALCP_2018FB+_IsabelaS.eaf
S,dois ano ali no motel,S_ALCP_2018FB+_IsabelaS.eaf
S,posso dizer assim,S_ALCP_2018FB+_IsabelaS.eaf
D1,pode pode falar,S_ALCP_2018FB+_IsabelaS.eaf
S,então no motel f ali,S_ALCP_2018FB+_IsabelaS.eaf
D1,uhum aqui em vinhedo mesmo,S_ALCP_2018FB+_IsabelaS.eaf
,,
### Arquivo: S_ALCP_2018FB+_IsabelaS.eaf,,
--- Trecho ---,,
D1,ah tá então você ficou dois anos nessa chácara né nesse bairro né,S_ALCP_2018FB+_IsabelaS.eaf
S,é,S_ALCP_2018FB+_IsabelaS.eaf
S,é,S_ALCP_2018FB+_IsabelaS.eaf
D1,aí a senhora veio pra cá,S_ALCP_2018FB+_IsabelaS.eaf
S,vim pra cá,S_ALCP_2018FB+_IsabelaS.eaf
D1,e aí aqui você está então,S_ALCP_2018FB+_IsabelaS.eaf
S,não,S_ALCP_2018FB+_IsabelaS.eaf
S,eu morei,S_ALCP_2018FB+_IsabelaS.eaf
S,sete ano,S_ALCP_2018FB+_IsabelaS.eaf
