ARQUIVO,TRILHA,OCORRENCIA
S_ALCP_2018FB+_IsabelaS.eaf,S,o meus amigo
S_ALCP_2018FB+_IsabelaS.eaf,D1,ou a metade já é
S_ALCP_2018FB+_IsabelaS.eaf,S,a metade
S_ALCP_2018FB+_IsabelaS.eaf,D1,metade de alagoas ou de o do nordeste
S_ALCP_2018FB+_IsabelaS.eaf,S,deixa eu ver
S_ALCP_2018FB+_IsabelaS.eaf,S,não
S_ALCP_2018FB+_IsabelaS.eaf,S,a e é da bahia
S_ALCP_2018FB+_MoniqueR.eaf,D1,você veio pra cá mais por na verdade foi mais por conta de trabalho do que esse esse amigo xxx
S_ALCP_2018FB+_MoniqueR.eaf,D1,seu primo ajudou
S_ALCP_2018FB+_MoniqueR.eaf,D1,uhum
S_ALCP_2018FB+_MoniqueR.eaf,D1,e você veio porque vocês eram casados
S_ALCP_2018FB+_MoniqueR.eaf,S,casado
S_ALCP_2018FB+_MoniqueR.eaf,S,se não é eu
S_ALCP_2018FB+_MoniqueR.eaf,D1,ah
S_ALCP_2018FB+_MoniqueR.eaf,D1,mas foi por conta disso mesmo
S_ALCP_2018FB+_MoniqueR.eaf,S,por causa do tra trabalho
S_ALCP_2018FB+_MoniqueR.eaf,D1,foi o trabalho e
S_ALCP_2018FB+_MoniqueR.eaf,D1,qualidade de vida seria isso
S_ALCP_2018FB+_MoniqueR.eaf,S,sim qualidade qualidade de vida sim
S_ALCP_2018FB+_MoniqueR.eaf,D1,entendi
S_ALCP_2018FB+_MoniqueR.eaf,D1,e aqui vocês conhecem os vizinhos de vocês
S_ALCP_2018FB+_MoniqueR.eaf,S,sim
S_ALCP_2018FB+_MoniqueR.eaf,D1,é assim de assim
S_ALCP_2018FB+_MoniqueR.eaf,D1,foi o trabalho e
S_ALCP_2018FB+_MoniqueR.eaf,D1,qualidade de vida seria isso
S_ALCP_2018FB+_MoniqueR.eaf,S,sim qualidade qualidade de vida sim
S_ALCP_2018FB+_MoniqueR.eaf,D1,entendi
S_ALCP_2018FB+_MoniqueR.eaf,D1,e aqui vocês conhecem os vizinhos de vocês
S_ALCP_2018FB+_MoniqueR.eaf,S,sim
S_ALCP_2018FB+_MoniqueR.eaf,D1,é assim de assim
S_ALCP_2018FB+_MoniqueR.eaf,D1,de ir na casa do outro ou só aquele oi e tchau
S_ALCP_2018FB+_MoniqueR.eaf,S,de ir um na casa do outro
S_ALCP_2018FB+_MoniqueR.eaf,D1,é bem próximo então
S_ALCP_2018FB+_MoniqueR.eaf,S,bem próximo
S_ALCP_2018FB+_MoniqueR.eaf,D1,e o que que vocês acham que esse bairo a aqui tem de diferente dos outros bairros de campinas assim
S_ALCP_2018FB+_MoniqueR.eaf,D1,vocês acham que tem alguma coisa que
S_ALCP_2018FB+_MoniqueR.eaf,D1,diferencia ele
S_ALCP_2018FB+_MoniqueR.eaf,S,não sei
S_ALCP_2018FB+_MoniqueR.eaf,D1,uhum
S_ALCP_2018FB+_MoniqueR.eaf,D1,você no caso trabalha nesse serviço
S_ALCP_2018FB+_MoniqueR.eaf,S,cinco anos 
S_ALCP_2018FB+_MoniqueR.eaf,D1,cinco anos
S_ALCP_2018FB+_MoniqueR.eaf,D1,faz um pouquinho né
S_ALCP_2018FB+_MoniqueR.eaf,S,é
S_ALCP_2018FB+_MoniqueR.eaf,D1,e você
S_ALCP_2018FB+_MoniqueR.eaf,D1,faz quanto tempo
S_ALCP_2018FB+_MoniqueR.eaf,S,lp
S_ALCP_2018FB+_MoniqueR.eaf,D1,uhum
S_ALCP_2018FB+_MoniqueR.eaf,D1,e aí você largou e está desde então o senhor está fazendo isso que o senhor está fazendo
S_ALCP_2018FB+_MoniqueR.eaf,D1,por conta mesmo né autônomo posso
S_ALCP_2018FB+_MoniqueR.eaf,S,é
S_ALCP_2018FB+_MoniqueR.eaf,D1,vou botar autônomo aqui
S_ALCP_2018FB+_MoniqueR.eaf,D1,e vocês eh gostam do que vocês fazem assim
S_ALCP_2018FB+_MoniqueR.eaf,S,sim
S_ALCP_2018FB+_MoniqueR.eaf,D1,gostam
S_ALCP_2018FB-_VeronicaS.eaf,D1,do seu trabalho que você mais convive assim
S_ALCP_2018FB-_VeronicaS.eaf,S,pronto
S_ALCP_2018FB-_VeronicaS.eaf,S,tem a p
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,que é do seu serviço
S_ALCP_2018FB-_VeronicaS.eaf,S,que é do meu serviço
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,e ela é
S_ALCP_2018FB-_VeronicaS.eaf,D1,daqui
S_ALCP_2018FB-_VeronicaS.eaf,S,ela é daqui
S_ALCP_2018FB-_VeronicaS.eaf,D1,de holambra
S_ALCP_2018FB-_VeronicaS.eaf,S,isso
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,daí tem
S_ALCP_2018FB-_VeronicaS.eaf,S,tem o j que é meu encarregado que ele é de minas gerais
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,que é do seu serviço
S_ALCP_2018FB-_VeronicaS.eaf,S,que é do meu serviço
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,e ela é
S_ALCP_2018FB-_VeronicaS.eaf,D1,daqui
S_ALCP_2018FB-_VeronicaS.eaf,S,ela é daqui
S_ALCP_2018FB-_VeronicaS.eaf,D1,de holambra
S_ALCP_2018FB-_VeronicaS.eaf,S,isso
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,daí tem
S_ALCP_2018FB-_VeronicaS.eaf,S,tem o j que é meu encarregado que ele é de minas gerais
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,S,tem um outro colega c que ele é de pernambuco
S_ALCP_2018FB-_VeronicaS.eaf,D1,c
S_ALCP_2018FB-_VeronicaS.eaf,S,isso
S_ALCP_2018FB-_VeronicaS.eaf,D1,ele também trabalha lá com você
S_ALCP_2018FB-_VeronicaS.eaf,D1,ela é também de lá do seu trabalho
S_ALCP_2018FB-_VeronicaS.eaf,S,é
S_ALCP_2018FB-_VeronicaS.eaf,S,ela trabalha lá comigo
S_ALCP_2018FB-_VeronicaS.eaf,S,e tem a outra
S_ALCP_2018FB-_VeronicaS.eaf,S,d que é também é mineira também
S_ALCP_2018FB-_VeronicaS.eaf,D1,todo mundo de lá
S_ALCP_2018FB-_VeronicaS.eaf,S,isso
S_ALCP_2018FB-_VeronicaS.eaf,S,essas pessoa que eu falei tudo trabalha comigo
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_VeronicaS.eaf,D1,mineira
S_ALCP_2018FB-_VeronicaS.eaf,D1,e
S_ALCP_2018FB-_VeronicaS.eaf,D1,a maioria dos seus amigos hoje sem contar a a sua família
S_ALCP_2018FB-_VeronicaS.eaf,D1,também é de alagoas
S_ALCP_2018FB-_VeronicaS.eaf,D1,ou já
S_ALCP_2018FB-_VeronicaS.eaf,S,não nunca essas pessoas nunca foram em alagoas
S_ALCP_2018FB-_VeronicaS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,D1,mas você resolveu mudar pra pro estado de são paulo também a trabalho pra que que foi
S_ALCP_2018FB-_YasminS.eaf,S,mais
S_ALCP_2018FB-_YasminS.eaf,S,devido ao trabalho do meu esposo que lá já fazia
S_ALCP_2018FB-_YasminS.eaf,S,algum tempo que ele não conseguia salário res o
S_ALCP_2018FB-_YasminS.eaf,S,tsc trabalho registrado
S_ALCP_2018FB-_YasminS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,S,só fazia bico e normalmente estava desempregado
S_ALCP_2018FB-_YasminS.eaf,S,aí surgiu a oportunidade
S_ALCP_2018FB-_YasminS.eaf,S,de eu vim morar perto dos meus pais depois de treze anos aí a gente veio
S_ALCP_2018FB-_YasminS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,S,aí eu pedi
S_ALCP_2018FB-_YasminS.eaf,S,um acordo com a empresa eu estava trabalhando
S_ALCP_2018FB-_YasminS.eaf,S,aí foi com esse dinheiro que a gente construiu lá
S_ALCP_2018FB-_YasminS.eaf,S,e viemos
S_ALCP_2018FB-_YasminS.eaf,D1,e deu certo pra
S_ALCP_2018FB-_YasminS.eaf,S,é pra ele deu mais certo
S_ALCP_2018FB-_YasminS.eaf,D1,é é um trabalho duplo né é uma du é dupla jornada
S_ALCP_2018FB-_YasminS.eaf,S,é aí o marido
S_ALCP_2018FB-_YasminS.eaf,S,só trabalha fora e quando chega em casa de boa
S_ALCP_2018FB-_YasminS.eaf,D1,não aí não dá né
S_ALCP_2018FB-_YasminS.eaf,S,ainda ter que educar o seus filhos ainda ter que verificar tarefa de colégio
S_ALCP_2018FB-_YasminS.eaf,D1,é
S_ALCP_2018FB-_YasminS.eaf,S,olha levar filho pra médico ó é muita coisa
S_ALCP_2018FB-_YasminS.eaf,S,tem responsabilidade
S_ALCP_2018FB-_YasminS.eaf,D1,ih já está cansada só de pensar
S_ALCP_2018FB-_YasminS.eaf,D1,e você tra
S_ALCP_2018FB-_YasminS.eaf,S,e não dividir
S_ALCP_2018FB-_YasminS.eaf,D1,tem que dividir eu acho que tem que dividir na verdade né
S_ALCP_2018FB-_YasminS.eaf,S,é o certo
S_ALCP_2018FB-_YasminS.eaf,D1,seria o certo mas
S_ALCP_2018FB-_YasminS.eaf,D1,se
S_ALCP_2018FB-_YasminS.eaf,S,mas ainda existe né esse tabu ainda né ainda existe homens
S_ALCP_2018FB-_YasminS.eaf,D1,e você gosta do seu serviço
S_ALCP_2018FB-_YasminS.eaf,S,não é o que eu quero né
S_ALCP_2018FB-_YasminS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,S,assim pelo que eu já o meu primeiro emprego foi na pizzaria
S_ALCP_2018FB-_YasminS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,S,e eu não me identifiquei muito com pizzaria e nem restaurante
S_ALCP_2018FB-_YasminS.eaf,S,ou ser assim
S_ALCP_2018FB-_YasminS.eaf,D1,mas os dois você era recepcionista
S_ALCP_2018FB-_YasminS.eaf,S,não
S_ALCP_2018FB-_YasminS.eaf,D1,nos dois
S_ALCP_2018FB-_YasminS.eaf,D1,na pizzaria não
S_ALCP_2018FB-_YasminS.eaf,S,pizzaria eu era caixa
S_ALCP_2018FB-_YasminS.eaf,D1,ah tá
S_ALCP_2018FB-_YasminS.eaf,D1,é recepcionista na pizzaria né tem que ser caixa mesmo
S_ALCP_2018FB-_YasminS.eaf,S,é
S_ALCP_2018FB-_YasminS.eaf,S,eu era caixa
S_ALCP_2018FB-_YasminS.eaf,D1,então você não você não se sente reconhecida aqui no seu trabalho assim
S_ALCP_2018FB-_YasminS.eaf,S,não
S_ALCP_2018FB-_YasminS.eaf,S,não
S_ALCP_2018FB-_YasminS.eaf,D1,tem mas tem algum cargo ali dentro que você almeja ou você quer sair pra outra coisa mesmo
S_ALCP_2018FB-_YasminS.eaf,S,não
S_ALCP_2018FB-_YasminS.eaf,S,não
S_ALCP_2018FB-_YasminS.eaf,S,quero sair pra outra área
S_ALCP_2018FB-_YasminS.eaf,D1,ah tá
S_ALCP_2018FB-_YasminS.eaf,D1,qual que seria a profissão dos seus sonhos
S_ALCP_2018FB-_YasminS.eaf,S,eu gosto eu trabalhava antes eu gostei muito na parte de analista de crédito
S_ALCP_2018FB-_YasminS.eaf,S,parte de financeira de cartão de crédito
S_ALCP_2018FB-_YasminS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,S,gostei muito da área trabalhei quatro anos
S_ALCP_2018FB-_YasminS.eaf,D1,uhum
S_ALCP_2018FB-_YasminS.eaf,S,no meu último emprego
S_ALCP_2018FB-_YasminS.eaf,S,na parte analista de crédito de cobrança
S_ALCP_2018MA+_JoaquimS.eaf,D1,e você gosta do seu trabalho
S_ALCP_2018MA+_JoaquimS.eaf,S,eu gosto agora se eu pudesse mudar eu também mudava
S_ALCP_2018MA+_JoaquimS.eaf,S,porque assim quem é que não quer mudar pra melhor né
S_ALCP_2018MA+_JoaquimS.eaf,D1,assim o que que você
S_ALCP_2018MA+_JoaquimS.eaf,D1,o que que você gostaria de fazer assim
S_ALCP_2018MA+_JoaquimS.eaf,S,eu eu corro atrás da música
S_ALCP_2018MA+_JoaquimS.eaf,D1,essa é sua profissão dos sonhos
S_ALCP_2018MA+_JoaquimS.eaf,S,é eu eu corro atrás da música eu queria um dia eh ter uma música gravada por
S_ALCP_2018MA+_JoaquimS.eaf,S,cantor famoso não importa quem se fo quem seja
S_ALCP_2018MA+_JoaquimS.eaf,S,eu já enviei bastante
S_ALCP_2018MA+_JoaquimS.eaf,S,eh cd com música pra
S_ALCP_2018MA+_JoaquimS.eaf,S,pra banda e duplas famosa
S_ALCP_2018MA+_JoaquimS.eaf,S,mas até agora a minha música infelizmente não fez o
S_ALCP_2018MA+_JoaquimS.eaf,S,o estilo de nenhum né
S_ALCP_2018MA+_JoaquimS.eaf,S,eu não sei se é
S_ALCP_2018MA+_JoaquimS.eaf,S,eu não sei se talvez seja estilo ou se talvez seja
S_ALCP_2018MA+_JosiasP.eaf,D1,e o senhor trabalhava aqui por perto onde que era seu trabalho
S_ALCP_2018MA+_JosiasP.eaf,S,eu trabalhava em furnas
S_ALCP_2018MA+_JosiasP.eaf,S,furnas eh daqui lá dá vinte e quatro quilômetros
S_ALCP_2018MA+_JosiasP.eaf,D1,uhum
S_ALCP_2018MA+_JosiasP.eaf,S,lá no xxx
S_ALCP_2018MA+_JosiasP.eaf,D1,sim
S_ALCP_2018MA+_JosiasP.eaf,S,vinte e quatro quilômetro daqui da porta de casa lá
S_ALCP_2018MA+_JosiasP.eaf,D1,daí como que o senhor ia
S_ALCP_2018MA+_JosiasP.eaf,D1,de ônibus
S_ALCP_2018MA+_JosiasP.eaf,S,de ônibus nós tinha o onibus da empresa
S_ALCP_2018MA+_JosiasP.eaf,D1,um fretado
S_ALCP_2018MA+_JosiasP.eaf,S,fretado
S_ALCP_2018MA+_JosiasP.eaf,D1,aham
S_ALCP_2018MA+_JosiasP.eaf,D1,e
S_ALCP_2018MA+_JosiasP.eaf,D1,lá o que que o senhor fazia
S_ALCP_2018MA+_JosiasP.eaf,S,eu trabalhava na
S_ALCP_2018MA+_WalterN.eaf,D1,trabalho
S_ALCP_2018MA+_WalterN.eaf,S,trabalho porque sempre viajou
S_ALCP_2018MA+_WalterN.eaf,S,e em meio a essas viagem a gente ficava sem ele
S_ALCP_2018MA+_WalterN.eaf,S,seis meses
S_ALCP_2018MA+_WalterN.eaf,S,três quatro às vezes não che não sei se chegou a anos
S_ALCP_2018MA+_WalterN.eaf,D1,uhum
S_ALCP_2018MA+_WalterN.eaf,S,entendeu
S_ALCP_2018MA+_WalterN.eaf,S,mas eu lembro muito bem que a gente ficava um bom tempo sem ele não sei se ele se acostumou também com idas e voltas
S_ALCP_2018MA+_WalterN.eaf,S,né
S_ALCP_2018MA+_WalterN.eaf,S,então assim mas eu
S_ALCP_2018MA+_WalterN.eaf,S,ele ele foi um pai cuidador sempre foi
S_ALCP_2018MA+_WalterN.eaf,D1,aham
S_ALCP_2018MA+_WalterN.eaf,S,né meus pais sempre foi foi de cuidar
S_ALCP_2018MA+_WalterN.eaf,S,minha mãe nem se fala
S_ALCP_2018MA+_WalterN.eaf,S,deu praticamente deu a vida pra cuidar dos filhos
S_ALCP_2018MA+_WalterN.eaf,D1,que era só com vocês né
S_ALCP_2018MA+_WalterN.eaf,D1,faz tempo que você está nesse serviço
S_ALCP_2018MA+_WalterN.eaf,S,um ano
S_ALCP_2018MA+_WalterN.eaf,D1,um ano
S_ALCP_2018MA+_WalterN.eaf,S,um ano
S_ALCP_2018MA+_WalterN.eaf,S,que eu estou
S_ALCP_2018MA+_WalterN.eaf,D1,você gosta
S_ALCP_2018MA+_WalterN.eaf,S,garçom
S_ALCP_2018MA+_WalterN.eaf,S,eu gosto
S_ALCP_2018MA+_WalterN.eaf,D1,gosta
S_ALCP_2018MA+_WalterN.eaf,D1,você se sente tipo reconhecido
S_ALCP_2018MA+_WalterN.eaf,D1,lá
S_ALCP_2018MA+_WalterN.eaf,S,olha
S_ALCP_2018MA+_WalterN.eaf,S,como é que eu vou te falar é que lá assim é um lugar muito bacana
S_ALCP_2018MA+_WalterN.eaf,S,é um clube
S_ALCP_2018MA+_WalterN.eaf,S,então assim
S_ALCP_2018MA+_WalterN.eaf,S,tem pesssoas que vai
S_ALCP_2018MA-_FabianoJ.eaf,D1,e como que você faz pra chegar ao teu trabalho
S_ALCP_2018MA-_FabianoJ.eaf,S,ah eu vou de bike
S_ALCP_2018MA-_FabianoJ.eaf,D1,de bike
S_ALCP_2018MA-_FabianoJ.eaf,S,é
S_ALCP_2018MA-_FabianoJ.eaf,S,bicicleta pego rapidinho e chego lá
S_ALCP_2018MA-_FabianoJ.eaf,D1,isso é bom né saudável
S_ALCP_2018MA-_FabianoJ.eaf,S,é pertinho
S_ALCP_2018MA-_FabianoJ.eaf,S,ah é bacana também né se for ver
S_ALCP_2018MA-_FabianoJ.eaf,D1,e o que que você faz lá
S_ALCP_2018MA-_FabianoJ.eaf,D1,que que você trabalha de serviço
S_ALCP_2018MA-_FabianoJ.eaf,S,eu trabalho eu entrei nessa nessa empresa trabalhando como espaçamento  de orquídeas  de flores  sabe xxx
S_ALCP_2018MA-_FabianoJ.eaf,S,aí depois  de um tempo eu mudei eu trabalho com manutenção
S_ALCP_2018MA-_FabianoJ.eaf,S,as  estufa  eu troco o cabeamento eu troco o plástico   assim quebrou uma coisa eu estou  ajudando
S_ALCP_2018MA-_FabianoJ.eaf,D1,uhum
S_ALCP_2018MA-_FabianoJ.eaf,S,aí está  sempre consertando as  estufa 
S_ALCP_2018MA-_FabianoJ.eaf,D1,entendi
S_ALCP_2018MA-_FabianoJ.eaf,D1,que que você trabalha de serviço
S_ALCP_2018MA-_FabianoJ.eaf,S,eu trabalho eu entrei nessa nessa empresa trabalhando como espaçamento  de orquídeas  de flores  sabe xxx
S_ALCP_2018MA-_FabianoJ.eaf,S,aí depois  de um tempo eu mudei eu trabalho com manutenção
S_ALCP_2018MA-_FabianoJ.eaf,S,as  estufa  eu troco o cabeamento eu troco o plástico   assim quebrou uma coisa eu estou  ajudando
S_ALCP_2018MA-_FabianoJ.eaf,D1,uhum
S_ALCP_2018MA-_FabianoJ.eaf,S,aí está  sempre consertando as  estufa 
S_ALCP_2018MA-_FabianoJ.eaf,D1,entendi
S_ALCP_2018MA-_FabianoJ.eaf,D1,e lá você acha que que você
S_ALCP_2018MA-_FabianoJ.eaf,D1,você se sente reconhecido lá
S_ALCP_2018MA-_FabianoJ.eaf,S,não
S_ALCP_2018MA-_FabianoJ.eaf,S,lá é bom
S_ALCP_2018MA-_FabianoJ.eaf,S,eles  reco assim não reconhece assim lá
S_ALCP_2018MA-_FabianoJ.eaf,S,porque como é muita pessoa não tem como eu chegar assim está  sempre reconhecendo você
S_ALCP_2018MA-_FabianoJ.eaf,S,mas  na medida do possível ele reconhece você sim
S_ALCP_2018MA-_FabianoJ.eaf,S,se você fizer por onde for alguém bacana na empresa tudo mais sempre chega a hora que reconhecem você agradam você como podem
S_ALCP_2018MA-_FabianoJ.eaf,S,isso é bom eles  reconhecem não assim eita
S_ALCP_2018MB+_AlbertoS.eaf,D1,você veio pra cá mais por na verdade foi mais por conta de trabalho do que esse esse amigo xxx
S_ALCP_2018MB+_AlbertoS.eaf,S,sim
S_ALCP_2018MB+_AlbertoS.eaf,S,esse primo meu
S_ALCP_2018MB+_AlbertoS.eaf,D1,seu primo ajudou
S_ALCP_2018MB+_AlbertoS.eaf,S,que ele considera como se fosse irmão meu como o pai que criou ele
S_ALCP_2018MB+_AlbertoS.eaf,D1,uhum
S_ALCP_2018MB+_AlbertoS.eaf,S,aí eu estou aqui até
S_ALCP_2018MB+_AlbertoS.eaf,S,agora
S_ALCP_2018MB+_AlbertoS.eaf,D1,e você veio porque vocês eram casados
S_ALCP_2018MB+_AlbertoS.eaf,S,não nós não era casado ainda eu deixei ela lá esperando
S_ALCP_2018MB+_AlbertoS.eaf,S,enrolei um pouco daí fui lá busquei ela
S_ALCP_2018MB+_AlbertoS.eaf,S,está aqui
S_ALCP_2018MB+_AlbertoS.eaf,D1,ah
S_ALCP_2018MB+_AlbertoS.eaf,D1,mas foi por conta disso mesmo
S_ALCP_2018MB+_AlbertoS.eaf,S,sim
S_ALCP_2018MB+_AlbertoS.eaf,D1,foi o trabalho e
S_ALCP_2018MB+_AlbertoS.eaf,D1,foi o trabalho e
S_ALCP_2018MB+_AlbertoS.eaf,S,sim
S_ALCP_2018MB+_AlbertoS.eaf,D1,qualidade de vida seria isso
S_ALCP_2018MB+_AlbertoS.eaf,D1,entendi
S_ALCP_2018MB+_AlbertoS.eaf,D1,e aqui vocês conhecem os vizinhos de vocês
S_ALCP_2018MB+_AlbertoS.eaf,S,sim
S_ALCP_2018MB+_AlbertoS.eaf,D1,é assim de assim
S_ALCP_2018MB+_AlbertoS.eaf,D1,de ir na casa do outro ou só aquele oi e tchau
S_ALCP_2018MB+_AlbertoS.eaf,S,sim
S_ALCP_2018MB+_AlbertoS.eaf,S,sim sim
S_ALCP_2018MB+_AlbertoS.eaf,D1,é bem próximo então
S_ALCP_2018MB+_AlbertoS.eaf,S,é bem próximo é
S_ALCP_2018MB+_AlbertoS.eaf,S,conhece bastante gente aqui
S_ALCP_2018MB+_AlbertoS.eaf,D1,e o que que vocês acham que esse bairo a aqui tem de diferente dos outros bairros de campinas assim
S_ALCP_2018MB+_AlbertoS.eaf,D1,vocês acham que tem alguma coisa que
S_ALCP_2018MB+_AlbertoS.eaf,D1,diferencia ele
S_ALCP_2018MB+_AlbertoS.eaf,D1,você no caso trabalha nesse serviço
S_ALCP_2018MB+_AlbertoS.eaf,D1,cinco anos
S_ALCP_2018MB+_AlbertoS.eaf,D1,faz um pouquinho né
S_ALCP_2018MB+_AlbertoS.eaf,S,é
S_ALCP_2018MB+_AlbertoS.eaf,D1,e você
S_ALCP_2018MB+_AlbertoS.eaf,S,eu trabalhava em firma
S_ALCP_2018MB+_AlbertoS.eaf,S,aí larguei a mão de firma estou  trabalhando por conta
S_ALCP_2018MB+_AlbertoS.eaf,D1,faz quanto tempo
S_ALCP_2018MB+_AlbertoS.eaf,S,tem
S_ALCP_2018MB+_AlbertoS.eaf,S,cinco ano que eu larguei trabalhava na
S_ALCP_2018MB+_AlbertoS.eaf,S,na
S_ALCP_2018MB+_AlbertoS.eaf,S,no na lp
S_ALCP_2018MB+_AlbertoS.eaf,S,eh
S_ALCP_2018MB+_AlbertoS.eaf,S,fábrica de revista 
S_ALCP_2018MB+_AlbertoS.eaf,D1,uhum
S_ALCP_2018MB+_AlbertoS.eaf,D1,e aí você largou e está desde então o senhor está fazendo isso que o senhor está fazendo
S_ALCP_2018MB+_EraldoF.eaf,D1,e e daí você você falou do seu trabalho que faz
S_ALCP_2018MB+_EraldoF.eaf,D1,três semanas que você não vai é isso
S_ALCP_2018MB+_EraldoF.eaf,S,é eu tenho estou construindo aqui aí não está dando para como eu trabalho só né lá
S_ALCP_2018MB+_EraldoF.eaf,S,é uma oficininha
S_ALCP_2018MB+_EraldoF.eaf,D1,você faz o quê
S_ALCP_2018MB+_EraldoF.eaf,S,é de oficina de carro eu arrumo carro
S_ALCP_2018MB+_EraldoF.eaf,D1,ah de carro
S_ALCP_2018MB+_EraldoF.eaf,S,é de carro
S_ALCP_2018MB+_EraldoF.eaf,S,é lá numa favelinha que lá no
S_ALCP_2018MB+_EraldoF.eaf,D1,tá
S_ALCP_2018MB+_EraldoF.eaf,S,numa comunidade lá do sumaré lá e
S_ALCP_2018MB+_EraldoF.eaf,S,eu me me enfiei lá e estou tentando né
S_ALCP_2018MB+_EraldoF.eaf,S,levar a vida assim
S_ALCP_2018MB+_EraldoF.eaf,D1,certo
S_ALCP_2018MB+_EraldoF.eaf,S,mas como eu é sozinho não dá para eu ficar lá e aqui
S_ALCP_2018MB+_EraldoF.eaf,S,porque se eu ficar lá a casa acaba não ficando em tempo e não tem casa que está arrumando
S_ALCP_2018MB+_JorgeS.eaf,D1,e você trabalha bastante tempo nesse serviço
S_ALCP_2018MB+_JorgeS.eaf,S,trabalho a mais  de cinco ano
S_ALCP_2018MB+_JorgeS.eaf,S,só
S_ALCP_2018MB+_JorgeS.eaf,S,nesse serviço né só que eu trabalhava lá no fórum em em campinas 
S_ALCP_2018MB+_JorgeS.eaf,D1,campinas
S_ALCP_2018MB+_JorgeS.eaf,S,trabalhava em campinas  dentro do fórum
S_ALCP_2018MB+_JorgeS.eaf,D1,morando aqui mesmo
S_ALCP_2018MB+_JorgeS.eaf,S,morando aqui mesmo 
S_ALCP_2018MB+_JorgeS.eaf,D1,você ia de moto também
S_ALCP_2018MB+_JorgeS.eaf,S,ia de moto
S_ALCP_2018MB+_JorgeS.eaf,D1,nossa
S_ALCP_2018MB+_JorgeS.eaf,S,é
S_ALCP_2018MB+_JorgeS.eaf,D1,e você gosta do que vo do seu serviço do que você está fazendo agora
S_ALCP_2018MB+_JorgeS.eaf,S,falar a verdade a profissão a gente tem que gostar  né
S_ALCP_2018MB+_JorgeS.eaf,S,que na realidade assim
S_ALCP_2018MB+_JorgeS.eaf,S,depois  que eu saí de todo sofrimento
S_ALCP_2018MB+_JorgeS.eaf,D1,e você gosta do que vo do seu serviço do que você está fazendo agora
S_ALCP_2018MB+_JorgeS.eaf,S,falar a verdade a profissão a gente tem que gostar  né
S_ALCP_2018MB+_JorgeS.eaf,S,que na realidade assim
S_ALCP_2018MB+_JorgeS.eaf,S,depois  que eu saí de todo sofrimento
S_ALCP_2018MB+_JorgeS.eaf,S,dia a dia da vida eu trabalhava lá no nordeste 
S_ALCP_2018MB+_JorgeS.eaf,S,de segurança
S_ALCP_2018MB+_JorgeS.eaf,S,assim numa chácara lá então eu lembro até hoje
S_ALCP_2018MB+_JorgeS.eaf,S,ainda eu tenho uma chacrona lá
S_ALCP_2018MB+_JorgeS.eaf,S,enorme lá tudo que cria arara cria ganso um bocado de coisa lá
S_ALCP_2018MB+_JorgeS.eaf,S,ele ele
S_ALCP_2018MB+_JorgeS.eaf,S,pagaram a gente pra gente ficar tomando de conta
S_ALCP_2018MB+_JorgeS.eaf,S,e dele mesmo  também e dos  filho dele né
S_ALCP_2018MB+_JorgeS.eaf,S,na realidade
S_ALCP_2018MB+_JorgeS.eaf,S,só não tinha curso aí por isso das  coisa quando a gente não tem curso
S_ALCP_2018MB+_JorgeS.eaf,S,tem maniola mas 
S_ALCP_2018MB+_JorgeS.eaf,S,é aquele inferior
S_ALCP_2018MB+_JorgeS.eaf,D1,e você se sente reconhecido no que você faz você gosta do seu trabalho
S_ALCP_2018MB+_JorgeS.eaf,S,gosto 
S_ALCP_2018MB+_JorgeS.eaf,S,pra falar a verdade
S_ALCP_2018MB+_JorgeS.eaf,S,é que né em todo serviço a gente tem que ter um jogo de cintura né porque sempre tem um pra tirar de tempo né
S_ALCP_2018MB+_JorgeS.eaf,S,se a gente não tiver um jogo de cintura não aprender
S_ALCP_2018MB+_JorgeS.eaf,S,se controlar ou a ou a emocional do corpo
S_ALCP_2018MB+_JorgeS.eaf,S,termina
S_ALCP_2018MB+_JorgeS.eaf,S,se prejudicando por si mesmo  né
S_ALCP_2018MB+_JorgeS.eaf,S,até verbalmente se não souber conversar
